GroupId,Label,Files,CurrentProductGroupResult,DirectReplacementGroupResult,ConservativeFusionGroupResult,FusionThenQrGroupResult,QrThenFusionGroupResult,CurrentHomogeneous,ConservativeHomogeneous,ContainsFacturaDiscardedCurrent,ContainsFacturaDiscardedConservative,ContainsFalseFacturaCurrent,ContainsFalseFacturaConservative
"alertas-infraestructura-srvedms","NO_DOCUMENTO","1","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"branding-avon-natura","NO_DOCUMENTO","1","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"branding-bunge","NO_DOCUMENTO","1","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"branding-correo-argentino","NO_DOCUMENTO","1","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"branding-meteomatics","NO_DOCUMENTO","1","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"branding-personal","NO_DOCUMENTO","1","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"branding-renaper","NO_DOCUMENTO","1","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"capturas-error-edms","NO_DOCUMENTO","1","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"capturas-sistema-posicion-consolidada","NO_DOCUMENTO","3","DESCARTAR","DESCARTAR","DESCARTAR","DESCARTAR","DESCARTAR","true","true","false","false","false","false"
"comprobante-pago-bancario","OTRO_DOCUMENTO","1","DESCARTAR","DESCARTAR","DESCARTAR","DESCARTAR","DESCARTAR","true","true","false","false","false","false"
"correo-boleta-lanus","NO_DOCUMENTO","2","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"credencial","OTRO_DOCUMENTO","1","DESCARTAR","DESCARTAR","DESCARTAR","DESCARTAR","DESCARTAR","true","true","false","false","false","false"
"error-impresion-xerox","NO_DOCUMENTO","1","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"factura-avon-a-impresa","FACTURA","2","RESULTADO_MIXTO","RESULTADO_MIXTO","RESULTADO_MIXTO","RESULTADO_MIXTO","RESULTADO_MIXTO","false","false","false","false","false","false"
"factura-familia-aquavita","FACTURA","2","FACTURA","FACTURA","FACTURA","FACTURA","FACTURA","true","true","false","false","false","false"
"factura-familia-arca-fce-standard","FACTURA","5","FACTURA","FACTURA","FACTURA","FACTURA","FACTURA","true","true","false","false","false","false"
"factura-familia-arillo","FACTURA","1","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"factura-familia-ascensores-orem","FACTURA","1","FACTURA","FACTURA","FACTURA","FACTURA","FACTURA","true","true","false","false","false","false"
"factura-familia-branding-merchandising","FACTURA","1","REVISAR","FACTURA","FACTURA","FACTURA","FACTURA","true","true","false","false","false","false"
"factura-familia-condominio-pdi","FACTURA","2","REVISAR","RESULTADO_MIXTO","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"factura-familia-excell","FACTURA","1","REVISAR","DESCARTAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"factura-familia-inmuebles-fce","FACTURA","1","REVISAR","FACTURA","FACTURA","FACTURA","FACTURA","true","true","false","false","false","false"
"factura-familia-manantial","FACTURA","1","REVISAR","DESCARTAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"factura-familia-pediatrics","FACTURA","1","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"factura-familia-servicios-inmobiliarios","FACTURA","1","FACTURA","FACTURA","FACTURA","FACTURA","FACTURA","true","true","false","false","false","false"
"factura-familia-vitalis","FACTURA","1","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"factura-homologacion-c-00004-00000002","FACTURA","3","FACTURA","FACTURA","FACTURA","FACTURA","FACTURA","true","true","false","false","false","false"
"factura-logistica-la-serenisima-zb2b","FACTURA","1","FACTURA","FACTURA","FACTURA","FACTURA","FACTURA","true","true","false","false","false","false"
"firma-banco","NO_DOCUMENTO","1","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"firma-deloitte","NO_DOCUMENTO","2","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"flightaware-newsletter","NO_DOCUMENTO","4","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"fotos-familiares","NO_DOCUMENTO","2","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"mapas-viajes","NO_DOCUMENTO","3","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"orden-compra","OTRO_DOCUMENTO","1","DESCARTAR","DESCARTAR","DESCARTAR","DESCARTAR","DESCARTAR","true","true","false","false","false","false"
"otro-aviso-cheque-rechazado-banco-patagonia","OTRO_DOCUMENTO","3","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"otro-captura-monotributo-pago","OTRO_DOCUMENTO","1","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"otro-captura-ticket-acceso","OTRO_DOCUMENTO","1","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"otro-confirmacion-compra-web","OTRO_DOCUMENTO","1","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"otro-correo-reenvio-factura","OTRO_DOCUMENTO","1","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"otro-impuesto-inmobiliario-rawson","OTRO_DOCUMENTO","1","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"otro-instruccion-transferencia-banco-patagonia","OTRO_DOCUMENTO","2","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"otro-liquidaciones-comercios-banco-patagonia","OTRO_DOCUMENTO","3","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"otro-nota-credito-electronica-edi-00002-00000001","OTRO_DOCUMENTO","1","DESCARTAR","DESCARTAR","DESCARTAR","DESCARTAR","DESCARTAR","true","true","false","false","false","false"
"otro-nota-credito-fiel","OTRO_DOCUMENTO","1","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"otro-recibo-c","OTRO_DOCUMENTO","1","DESCARTAR","DESCARTAR","DESCARTAR","DESCARTAR","DESCARTAR","true","true","false","false","false","false"
"otro-resumen-costo-trayecto-cabify","OTRO_DOCUMENTO","2","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"otro-resumen-operaciones-banco-comafi","OTRO_DOCUMENTO","2","DESCARTAR","DESCARTAR","DESCARTAR","DESCARTAR","DESCARTAR","true","true","false","false","false","false"
"otro-resumen-tarjeta-visa","OTRO_DOCUMENTO","1","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"otro-solicitud-nota-credito-banco-patagonia","OTRO_DOCUMENTO","1","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
"otro-ticket-servicio-cold","OTRO_DOCUMENTO","1","REVISAR","REVISAR","REVISAR","REVISAR","REVISAR","true","true","false","false","false","false"
